verifyName,betweenness,closeness,follow,posts,interval,length,movie_posts,reposts,coapper_posts,boxoffice,fans,id
杨光,18946,0.3713,400,1134,119824.5503,41.66578483,406,62,0,0,35,1148270373
李美玲,19190,0.3482,171,423,326850.0709,72.81323877,207,44,0,0,35,1840097167
蔡河立,18104,0.3285,159,2243,53297.09318,71.38430673,599,703,0,0,35,1832116600
魏冉,18993,0.3687,222,188,686692.0213,45.25531915,55,3,0,0,35,1244935044
陆品方,17877,0.3714,495,22,4335207.273,43.40909091,3,0,0,0,35,1615737571
蒋伯州,40099,0.418,1015,44,1465257.273,63.75,8,1,0,0,35,2435767167
杨强,17970,0.3669,272,218,603069.0826,42.9266055,38,12,0,0,35,1716385774
王斯琼,29781,0.3958,346,761,142886.4915,43.33508541,162,22,685,6.5,35,2106440212
叶安婷,20722,0.3326,198,945,91470.4127,40.30899471,197,16,0,0,35,1767475850
黄荻钧,18785,0.3173,151,2712,53965.95133,40.23303835,418,236,0,0,35,1789209264
谢震伟,17441,0.3696,135,272,455853.5294,36.91176471,45,3,0,0,35,1455613292
金曾,21395,0.36,385,2462,59146.18197,28.92485784,579,81,0,0,35,1132241581
石夏天,19392,0.3806,323,1908,80908.86792,55.15146751,482,729,10533,15046.5,35,1307484185
徐洁,28438,0.3812,411,809,194398.4425,76.52904821,361,118,0,0,35,1625083154
吴昊泽,19117,0.3583,330,555,243459.8919,41.71711712,161,63,0,0,35,1658230341
牛怡茗,23616,0.3649,495,445,285880.4494,75.22247191,89,3,0,72.3333,35,1929216527
白玉,17921,0.3463,158,1488,95836.57258,35.94086022,340,21,0,0,35,1806994085
李涛亮,19196,0.3789,174,561,285253.7968,47.54545455,163,70,0,0,35,1302993291
曹胤,21586,0.3685,240,423,242730.6383,46.88652482,143,11,0,0,35,1978466874
成峻,26586,0.3573,486,750,188062.08,45.876,136,46,0,67,35,1324174357
徐亮,22285,0.4034,681,295,475102.7797,38.22033898,76,12,0,0,35,1288041090
王楠,19711,0.3489,139,889,125756.8954,51.10011249,227,11,0,3.5,35,2247896437
刘青松,21631,0.3712,455,691,228915.0217,69.95513748,239,6,345,30987.291,35,1214359231
辛雨锡,20442,0.3808,354,786,173032.9008,43.65267176,294,19,0,0,35,1827839015
袁雅婷,18476,0.3509,395,410,308864.0488,48.38780488,126,4,0,0,35,1639556620
邹容,19058,0.3487,424,523,303692.0076,39.82026769,108,0,0,0,35,1396728782
谢飞,25296,0.3656,239,1451,85398.85596,37.59958649,390,78,0,0,35,2021809997
